Country,Year,Industry,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Top AI Tools Used,Regulation Status,Consumer Trust in AI (%),Market Share of AI Companies (%),AI Impact Description,yearly_change_%,is_growing_trend,impact_summary,text_profile
France,2020,Automotive,79.59,20.37,39.06,44.06,83.18,Synthesia,Moderate,45.04,14.03,No description available.,,False,"Industry: Automotive, Year: 2020, AI Adoption Rate: 79.59%, Description: No description available.","In 2020, within the Automotive sector, the AI usage reached 79.59%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
South Korea,2020,Automotive,30.94,82.97,37.08,60.61,56.01,Bard,Lenient,85.1,38.38,No description available.,-61.125769569041346,False,"Industry: Automotive, Year: 2020, AI Adoption Rate: 30.94%, Description: No description available.","In 2020, within the Automotive sector, the AI usage reached 30.94%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -61.125769569041346% change. The trend is currently declining."
Australia,2020,Automotive,14.31,35.59,14.59,36.05,76.71,Claude,Moderate,76.46,2.64,No description available.,-53.7491919844861,False,"Industry: Automotive, Year: 2020, AI Adoption Rate: 14.31%, Description: No description available.","In 2020, within the Automotive sector, the AI usage reached 14.31%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -53.7491919844861% change. The trend is currently declining."
India,2020,Automotive,64.03,5.21,41.36,53.59,23.62,DALL-E,Moderate,37.89,34.26,No description available.,347.4493361285814,False,"Industry: Automotive, Year: 2020, AI Adoption Rate: 64.03%, Description: No description available.","In 2020, within the Automotive sector, the AI usage reached 64.03%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 347.4493361285814% change. The trend is currently declining."
UK,2020,Automotive,63.03,26.18,31.41,57.91,63.9,Midjourney,Lenient,83.66,6.21,No description available.,-1.561767921286894,False,"Industry: Automotive, Year: 2020, AI Adoption Rate: 63.03%, Description: No description available.","In 2020, within the Automotive sector, the AI usage reached 63.03%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -1.561767921286894% change. The trend is currently declining."
India,2020,Automotive,80.04,36.49,29.72,76.74,69.01,ChatGPT,Moderate,48.27,44.8,No description available.,26.987148976677776,False,"Industry: Automotive, Year: 2020, AI Adoption Rate: 80.04%, Description: No description available.","In 2020, within the Automotive sector, the AI usage reached 80.04%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 26.987148976677776% change. The trend is currently declining."
UK,2021,Automotive,46.44,26.16,49.1,64.98,52.91,Midjourney,Strict,68.32,34.39,No description available.,-41.979010494752636,False,"Industry: Automotive, Year: 2021, AI Adoption Rate: 46.44%, Description: No description available.","In 2021, within the Automotive sector, the AI usage reached 46.44%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -41.979010494752636% change. The trend is currently declining."
Germany,2021,Automotive,89.44,52.98,48.47,12.14,30.6,DALL-E,Lenient,77.21,44.35,No description available.,92.59259259259261,False,"Industry: Automotive, Year: 2021, AI Adoption Rate: 89.44%, Description: No description available.","In 2021, within the Automotive sector, the AI usage reached 89.44%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 92.59259259259261% change. The trend is currently declining."
USA,2022,Automotive,81.06,96.13,10.66,45.6,39.66,Stable Diffusion,Moderate,54.47,22.76,No description available.,-9.36940966010733,False,"Industry: Automotive, Year: 2022, AI Adoption Rate: 81.06%, Description: No description available.","In 2022, within the Automotive sector, the AI usage reached 81.06%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -9.36940966010733% change. The trend is currently declining."
India,2022,Automotive,28.48,34.49,18.44,23.5,35.14,DALL-E,Strict,57.31,14.27,No description available.,-64.86553170490994,False,"Industry: Automotive, Year: 2022, AI Adoption Rate: 28.48%, Description: No description available.","In 2022, within the Automotive sector, the AI usage reached 28.48%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -64.86553170490994% change. The trend is currently declining."
